"Name","Version","License","Link","Package"
"babel-cli","6.26.0","MIT","https://babeljs.io/","alphonso"
"babel-core","6.26.0","MIT","https://babeljs.io/","alphonso"
"babel-eslint","8.2.2","MIT","https://github.com/babel/babel-eslint","alphonso"
"babel-plugin-transform-class-properties","6.24.1","MIT","","alphonso"
"babel-preset-es2015","6.24.1","MIT","https://babeljs.io/","alphonso"
"babel-preset-react","6.24.1","MIT","https://babeljs.io/","alphonso"
"eslint","4.19.1","MIT","https://eslint.org","alphonso"
"eslint-plugin-import","2.9.0","MIT","https://github.com/benmosher/eslint-plugin-import","alphonso"
"eslint-plugin-jsx-a11y","6.0.3","MIT","https://github.com/evcohen/eslint-plugin-jsx-a11y#readme","alphonso"
"eslint-plugin-react","7.7.0","MIT","https://github.com/yannickcr/eslint-plugin-react","alphonso"
"eslint-watch","3.1.3","MIT","https://github.com/rizowski/eslint-watch","alphonso"
"halogen","0.2.0","MIT","https://github.com/yuanyan/halogen#readme","alphonso"
"lodash","4.17.2","MIT","https://lodash.com/","alphonso"
"prop-types","15.6.1","MIT","https://facebook.github.io/react/","alphonso"
"react","15.6.1","BSD-3-Clause","https://facebook.github.io/react/","alphonso"
"react-bootstrap","0.31.2","MIT","https://react-bootstrap.github.io/","alphonso"
"react-dom","15.6.1","BSD-3-Clause","https://facebook.github.io/react/","alphonso"
"react-slick","0.23.1","MIT","https://github.com/akiran/react-slick","alphonso"
"slick-carousel","1.8.1","MIT","https://github.com/kenwheeler/slick#readme","alphonso"
"slugify","1.3.0","MIT","https://github.com/simov/slugify","alphonso"
"styled-components","3.0.2","MIT","https://styled-components.com/","alphonso"
